2025-09-01 19:45:21.494 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.495 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.499 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.500 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.501 | INFO     | ths_trader:disconnect:56 - 已断开同花顺客户端连接
2025-09-01 19:45:21.504 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.505 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.512 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.512 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.515 | ERROR    | ths_trader:get_balance:91 - 获取账户资金信息失败: 'NoneType' object has no attribute 'balance'
2025-09-01 19:45:21.519 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.519 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.528 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.529 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.538 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.539 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.547 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.548 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
2025-09-01 19:45:21.555 | INFO     | ths_trader:connect:36 - 准备连接同花顺客户端: test_path
2025-09-01 19:45:21.556 | ERROR    | ths_trader:connect:47 - 连接同花顺客户端失败: No module named 'easytrader.universal_clienttrader'; 'easytrader' is not a package
